branch_name,person_id
Barcelona,28713853552
Barcelona,42081048795
Vigo,91881092183
Vigo,74486480705
Bilbao,08643957391
Sevilla,57551323751
Málaga,08513443205
Vigo,08513443205
Valencia,28713853552
Bilbao,74486480705
Murcia,74486480705
Málaga,28713853552
Málaga,91810000675
Zaragoza,57551323751
Málaga,15180802989
Bilbao,16683671787
Vigo,74486480705
Valencia,89030946331
Murcia,52853857116
Málaga,06172668357
Sevilla,91881092183
Valencia,53943380355
Sevilla,33583242248
Málaga,89030946331
Vigo,51768239266
